title_tconst,english_title
tt1714210,Weekend
tt2276069,A Master Builder
tt22872868,Colette and Justin
tt2291230,First
tt2327430,Liv & Ingmar
tt2332801,The Spirit of '45
tt31055572,Gunbuster: The Movie
tt4420704,Kedi
tt4462082,Counting
tt4466490,Sieranevada
tt4468634,Ciertas mujeres
tt4621016,Ingrid Bergman: In Her Own Words
tt9222354,Dying
tt0765469,The Past
tt1196121,Black Roots
tt1196255,Woodcutters of the Deep South
tt21042126,Chicken for Linda!
tt28608358,Motel Destino
tt28618488,Vermiglio
tt28801705,Celluloid Underground
tt29002950,Resurrection
tt30810787,Dreams
tt30810792,Love
tt30886849,Turn in the Wound
tt3091286,Drunktown's Finest
tt35649428,Videoheaven
tt3581384,Burroughs
tt4714782,Fantasmas del pasado
tt4843040,An Accidental Studio
tt4935446,Heart of a Dog
tt8014482,Milford Graves Full Mantis
tt8122738,Flickering Ghosts of Loves Gone By
tt8185182,Long Day's Journey Into Night
tt0781599,Black Sun
tt0808526,Life During Wartime
tt0809407,12:08 East of Bucharest
tt0838221,Viaje a Darjeeling
tt0839739,The Beales of Grey Gardens
tt0847817,Helvetica
tt0869977,Water Lilies
tt1157605,Anvil: The Story of Anvil
tt1157685,The Betrayal
tt1336002,Oh My God! It's Harrod Blank!
tt1337051,"Police, Adjective"
tt24076780,Bad Press
tt24082622,Milisuthando
tt24121692,The Colonizer
tt24240390,Onlookers
tt2452254,Las nubes de María
tt2466988,Max by Marcel
tt31809821,"Maya, Give Me a Title"
tt32085997,Miséricorde
tt32086004,Meeting with Pol Pot
tt32086077,All We Imagine as Light
tt36456563,Magallanes
tt5258306,Contemporary Color
tt5278832,The Lure
tt5305230,CzechMate: In Search of Jirí Menzel
tt5323760,Winter Brothers
tt5375040,Cameraperson
tt5498350,Sennan Asbestos Disaster
tt5507860,Floyd Norman: An Animated Life
tt6423776,Let the Sunshine In
tt8804284,American Dharma
tt8943224,Lingua Franca
tt9031484,House of Cardin
tt1008017,Palermo Shooting
tt1015968,All in This Tea
tt1020773,Certified Copy
tt10767168,La llorona
tt1084950,El Casamiento de Raquel
tt10849514,"This Is Not a Burial, It's a Resurrection"
tt10850518,Andrey Tarkovsky. A Cinema Prayer
tt1087578,Still Walking
tt1287878,Poetry
tt12958702,The Hire
tt16022080,So Much Tenderness
tt1935157,Perfect Game
tt19623228,Godland
tt19652910,EO
tt2560102,Lilting
tt26270862,Sex
tt26315142,Totem
tt26440619,Afire
tt26441793,The Shadowless Tower
tt26442871,Wildcat
tt26448954,Here
tt26448981,Orlando: My Political Biography
tt26452090,"And, Towards Happy Alleys"
tt3763790,NOTFILM
tt1225902,The Hungry Ghosts
tt1232826,Involuntary
tt1403047,Aurora
tt14039582,Drive My Car
tt14064214,Genderation
tt18317064,Tori and Lokita
tt1837636,Queen of the Desert
tt1847731,Tomboy
tt2190196,Celluloid Man
tt2190367,Neighboring Sounds
tt22098228,The Passion of Remembrance
tt2219894,Turning
tt28349668,Queens of Drama
tt28419037,Stranger Eyes
tt28490044,El mal no existe
tt28490873,Ryuichi Sakamoto: Opus
tt5778628,Resynator
tt5786872,Señoritas
tt5795752,This Time Tomorrow
tt6725014,Scenes from a Marriage
tt6777170,24 Frames
tt6850578,Babenco: Tell Me When I Die
tt6903636,Grace Jones: Bloodlight and Bami
tt0056443,Sanjuro
tt0056444,An Autumn Afternoon
tt0056512,Il Sorpasso
tt0056514,The Suitor
tt0056562,Tears on the Lion's Mane
tt0056636,A Monkey in Winter
tt0056663,Vivre sa vie
tt0056667,Stowaway in the Sky
tt0056680,Being Two Isn't Easy
tt0056714,The Tale of Zatoichi
tt0056732,The Exterminating Angel
tt0056736,L'Eclisse
tt0056801,8½
tt0056844,"Un día, un gato"
tt0056845,Magnet of Doom
tt0056846,Bay of the Angels
tt0056854,The Baby Carriage
tt0056905,The Carabineers
tt0056919,Black Sheep
tt0056945,The Organizer
tt0057058,The Fire Within
tt0057076,El regreso del agente 007
tt0057171,"Yesterday, Today and Tomorrow"
tt0057207,Judex
tt0057215,Atragon
tt0057237,Raven's End
tt0057238,The Weird Love Makers
tt0057261,Lord of the Flies
tt0057277,The Big City: Mahanagar
tt0057286,Hands Over the City
tt0057295,Matango: Attack of the Mushroom People
tt0057336,Muriel
tt0057344,Any Number Can Win
tt0057357,Saladin
tt0057358,Winter Light
tt0057363,The Insect Woman
tt0057374,Something Different
tt0057427,The Trial
tt0057468,Death Drums Along the River
tt0057494,A Legend or Was It?
tt0057495,Shock Corridor
tt0057503,Zatoichi: The Blind Swordsman's Return
tt0057565,Cielo e infierno
tt0057578,This Sporting Life
tt0057590,Tom Jones
tt0057611,El silencio
tt0057632,"Sing, Young People!"
tt0057643,El verdugo
tt0057697,The Brute
tt0057710,Snow of Strange Change
tt0057714,Zatoichi on the Road
tt0057715,Zatoichi the Fugitive
tt0057829,Intentions of Murder
tt0057935,The Lonely Wife
tt0057960,Love Meetings
tt0058001,Diamonds of the Night
tt0058003,Red Desert
tt0058006,"Black God, White Devil"
tt0058022,Welcome - Entry Forbidden
tt0058124,All These Women
tt0058138,Gertrud
tt0058142,La muchacha de los ojos verdes
tt0058150,007 contra Goldfinger
tt0058182,"¡Yeah, Yeah, Yeah, Paul, John, George y Ringo!"
tt0058259,Courage for Every Day
tt0058279,El más allá
tt0058335,Marriage Italian Style
tt0058349,Yearning
tt0058379,Godzilla vs. Mothra
tt0058390,El beso amargo
tt0058409,Gate of Flesh
tt0058414,Nothing But a Man
tt0058430,Onibaba. El mito del sexo
tt0058450,Los paraguas de Cherburgo
tt0058458,The Soft Skin
tt0058481,Point of Order!
tt0058533,Circle of Love
tt0058544,Ghidorah: The Three-Headed Monster
tt0058557,Seance on a Wet Afternoon
tt0058564,Seduced and Abandoned
tt0058604,I Am Cuba
tt0058625,Woman in the Dunes
tt0058652,The Three Samurai
tt0058698,Dogora
tt0058715,El Evangelio según san Mateo
tt0058780,Loving Couples
tt0058858,Ironfinger
tt0058888,Red Beard
tt0058946,La batalla de Argel
tt0058985,La felicidad
tt0059012,Chimes at Midnight
tt0059063,Man Is Not a Bird
tt0059159,The Pleasures of the Flesh
tt0059160,Eva
tt0059177,Circus Angel
tt0059205,Frankenstein Conquers the World
tt0059229,Juliet of the Spirits
tt0059303,Samurai Spy
tt0059346,Godzilla vs. Monster Zero
tt0059348,The Coward
tt0059402,The Love Goddesses: A History of Sex in the Cinema
tt0059415,Loves of a Blonde
tt0059417,The Holy Man
tt0059456,Mitt hem är Copacabana
tt0059459,The Moment of Truth
tt0059527,The Shop on Main Street
tt0059554,An Innocent Witch
tt0059581,Pearls of the Deep
tt0059592,Pierrot the Fool
tt0059616,The Trial of Joan of Arc
tt0059619,Fist in His Pocket
tt0059653,Ride in the Whirlwind
tt0059715,Story of a Prostitute
tt0059817,Tokyo Olympiad
tt0059884,"War and Peace, Part I: Andrei Bolkonsky"
tt0059909,Who Killed Teddy Bear
tt0059919,With Beauty and Sorrow
tt0059934,Yo Yo
tt0059942,Zatoichi and the Chess Expert
tt0060082,Thirst for Love
tt0060107,Andréi Rublev
tt0060138,Au hasard Balthazar
tt0060223,The Hunt
tt0060231,Charlie Is My Darling
tt0060263,The Creatures
tt0060277,The Sword of Doom
tt0060304,2 or 3 Things I Know About Her
tt0060305,Second Wind
tt0060440,La guerra de los gargantúas
tt0060464,"Godzilla, Mothra, and Ebirah, Horror of the Deep"
tt0060486,Violence at Noon
tt0060529,Here's Your Life
tt0060543,Intimate Lighting
tt0060545,I Knew Her Well
tt0060560,The Amorists
tt0006614,The Dumb Girl of Portici
tt0007340,Shoes
tt0008663,A Man There Was
tt0008879,The Outlaw and His Wife
tt0011870,Within Our Gates
tt0012349,The Kid
tt0012364,The Phantom Carriage
tt0013075,Dr. Jack
tt0013201,He Who Hesitates
tt0013257,The Witches
tt0014109,The Saga of Gösta Berling
tt0014417,The Wheel
tt0014429,Safety Last!
tt0014611,Why Worry?
tt0014624,Una mujer de París
tt0014945,Girl Shy
tt0015361,Strike
tt0015532,The Adventures of Prince Achmed
tt0015634,Body and Soul
tt0015648,Potemkin
tt0015768,Master of the House
tt0015841,The Freshman
tt0015863,Go West
tt0015864,The Gold Rush
tt0015873,Grass: A Nation's Battle for Life
tt0016395,Stella Dallas
tt0016630,Battling Butler
tt0017075,The Lodge
tt0017825,Downhill
tt0017925,La General
tt0018051,The Kid Brother
tt0018054,The King of Kings
tt0018362,The Scar of Shame
tt0018523,The Horse Ate the Hat
tt0018528,Armless Alonzo
tt0018773,The Traveller
tt0018826,Two Timid Souls
tt0019254,La pasión de Juana de Arco
tt0019412,Speedy
tt0019421,"Steamboat Bill, Jr."
tt0019796,"I Graduated, But..."
tt0020163,People on Sunday
tt0020269,Piccadilly
tt0020451,The General Line
tt0020572,The Fingerprint
tt0020814,David Golder
tt0020876,Feet First
tt0020980,Walk Cheerfully
tt0021283,"I Flunked, But..."
tt0021406,That Night's Wife
tt0021409,Under the Roofs of Paris
tt0021739,The Bitch
tt0021749,Luces de la ciudad
tt0021844,The Exile
tt0021890,The Front Page
tt0022048,The Lady and the Beard
tt0022080,Limit
tt0022100,M el Maldito
tt0022105,The Neighbor's Wife and Mine
tt0022125,Marius
tt0022150,Le Million
tt0022485,Tokyo Chorus
tt0022578,Working Girls
tt0022599,Freedom for Us
tt0022718,Boudu Saved from Drowning
tt0022787,Wooden Crosses
tt0022877,Fanny
tt0022941,The Girl from Chicago
tt0023180,Working Wives
tt0023238,The Most Dangerous Game
tt0023241,The Unwilling Magician
tt0023261,No Blood Relation
tt0023345,The Red Head
tt0023450,Where Now Are the Dreams of Youth?
tt0023563,The Last Will of Dr. Mabuse
tt0023634,"I Was Born, But..."
tt0023649,The Vampire
tt0023937,Passing Fancy
tt0023985,The Emperor Jones
tt0024120,Dragnet Girl
tt0024214,Apart from You
tt0024473,La vida privada de Enrique VIII
tt0024480,July 14
tt0024710,A Man's Neck
tt0024757,Wedding Rehearsal
tt0024793,Nightfly Dreams
tt0024844,L'Atalante
tt0024961,The Cat's Paw
tt0024962,The Rise of Catherine the Great
tt0025062,Two Monks
tt0025094,Evergreen
tt0025100,The Phantom of the Monastery
tt0025214,A Mother Should Be Loved
tt0025338,Street Without End
tt0025452,El hombre que sabía demasiado
tt0025456,Man of Aran
tt0025509,Les Misérables
tt0025681,The Private Life of Don Juan
tt0025710,The Return of Bulldog Drummond
tt0025748,The Scarlet Pimpernel
tt0025898,Toni
tt0025929,A Story of Floating Weeds
tt0026029,Treinta y nueve escalones
tt0026406,The Ghost Goes West
tt0026549,Burden of Life
tt0026564,Carnival in Flanders
tt0026737,The Count of the Old Town
tt0026966,Sanders of the River
tt0027062,Swedenhielms
tt0027118,An Inn in Tokyo
tt0027164,Walpurgis Night
tt0027214,The Whole Town's Talking
tt0027296,Anne-Marie
tt0027307,Mr. Thank You
tt0027336,The Lower Depths
tt0027342,They Were Five
tt0027478,The Crime of Monsieur Lange
tt0027489,César
tt0027635,The Magic Voice
tt0027672,Sisters of the Gion
tt0027752,The Only Son
tt0027796,Intermezzo
tt0027954,Men Are Not Gods
tt0027969,The Milky Way
tt0027977,Tiempos modernos
tt0027985,Help Wanted: Female
tt0028021,Naniwa Elegy
tt0028112,Sean O'Casey's The Plough and the Stars
tt0028165,The Wave
tt0028167,Rembrandt
tt0028201,The Story of a Cheat
tt0028212,Sabotaje
tt0028358,El mundo en guerra
tt0028667,Bulldog Drummond Comes Back
tt0028668,Bulldog Drummond's Romance
tt0028827,Elephant Boy
tt0029002,Cena de medianoche
tt0029081,King Solomon's Mines
tt0029087,La condesa Alexandra
tt0029201,H.G. Wells' The Man Who Could Work Miracles
tt0029314,Humanity and Paper Balloons
tt0029322,Nothing Sacred
tt0029365,Over the Moon
tt0029394,Sacha Guitry's The Pearls of the Crown (Les perles de la couronne)
tt0029453,Pépé le Moko
tt0029557,What Did the Lady Forget?
tt0029603,Murder on Diamond Row
tt0029706,Dance of Life
tt0029811,Inocencia y juventud
tt0029850,Alexander Nevsky
tt0029952,Bulldog Drummond's Peril
tt0029957,Of Human Passions
tt0029982,The Challenge
tt0030063,The Divorce of Lady X
tt0030066,Dollar
tt0030082,Drums
tt0030127,The Baker's Wife
tt0030252,Hotel du Nord
tt0030337,A Woman's Face
tt0030341,La dama desaparece
tt0030522,Olympia Part One: Festival of the Nations
tt0030523,Olympia Part Two: Festival of Beauty
tt0030637,Pygmalion
tt0030642,Quadrille
tt0030675,The Return of the Scarlet Pimpernel
tt0030888,Trade Winds
tt0031270,Only One Night
tt0031309,The End of a Day
tt0031334,Las cuatro plumas
tt0031514,Daybreak
tt0031544,Two Girls on the Street
tt0031575,El león tiene alas
tt0031593,Love Affair
tt0031650,The Mikado
tt0031742,Of Mice and Men
tt0031831,Secret Clouds Over Europe
tt0031885,The Rules of the Game
tt0031968,El espía submarino U-boat 29
tt0031971,La diligencia
tt0032145,Cumbres borrascosas
tt0032156,The Story of the Last Chrysanthemum
tt0032179,Twenty-One Days Together
tt0032484,Foreign Correspondent
tt0032553,El gran dictador
tt0032599,Ayuno de amor
tt0032655,June Night
tt0032728,Hombres del mar
tt0033152,El ladron de Bagdad
tt0033532,The Devil and Daniel Webster
tt0033627,The Invaders
tt0033654,The 47 Ronin: Parts 1 and 2
tt0033858,Lydia
tt0033868,Major Barbara
tt0034093,Stormy Waters
tt0034240,Sullivan's Travels
tt0034272,That Hamilton Woman
tt0034298,The Brothers and Sisters of the Toda Family
tt0034478,"The Murderer Lives at #21"
tt0034493,The Little Martyr
tt0034587,La marca de la pantera
tt0034591,There Was a Father
tt0034734,Spitfire
tt0034881,He Married a Witch
tt0034891,Hidalgos de los mares
tt0034928,The Jungle Book
tt0035001,Summer Light
tt0035017,Carnival of Sinners
tt0035039,The Marriage of Chiffon
tt0035446,Ser o no ser
tt0035521,Castle of Sin
tt0035567,La mujer del año
tt0035737,The Woman Who Dared
tt0035753,Le Corbeau
tt0035823,Love Story
tt0036034,The Living Magoroku
tt0036112,Vida y muerte del Coronel Blimp
tt0036135,The Man in Grey
tt0036400,Judo Saga I
tt0036506,Day of Wrath
tt0036566,The Eternal Return
tt0036695,Un cuento de Canterbury
tt0036910,Henry V
tt0036914,Torment
tt0036947,The Most Beautiful
tt0036977,Jubilation Street
tt0037035,Madonna of the Seven Moons
tt0037227,Army
tt0037367,This Happy Breed
tt0037558,Brief Encounter
tt0037630,Ladies of the Park
tt0037638,Detour
tt0037674,Los hijos del paraíso
tt0037800,I Know Where I'm Going!
tt0037824,"Ivan the Terrible, Part I"
tt0038146,Sylvie and the Ghost
tt0038250,The Wicked Lady
tt0038268,"Sanshiro Sugata, Part Two"
tt0038289,I See a Dark Stranger
tt0038348,Beauty and the Beast
tt0038363,Un espectro travieso
tt0038390,César y Cleopatra
tt0038480,Dirty Gertie from Harlem U.S.A.
tt0038574,Grandes esperanzas
tt0038577,The Mad Killer
tt0038675,Crisis
tt0038810,Morning for the Osone Family
tt0038823,Paisan
tt0038824,Panique
tt0038853,Gates of the Night
tt0038854,El cartero llama dos veces
tt0038890,"Roma, ciudad abierta"
tt0038913,Shoeshine
tt0038924,The Seventh Veil
tt0039074,Utamaro and His Five Women
tt0039090,No Regrets for Our Youth
tt0039091,The Girl I Loved
tt0039192,Narciso negro
tt0039195,Blanche Fury
tt0039224,Fuerza bruta
tt0039406,Phoenix
tt0039417,Germany Year Zero
tt0039423,Snow Trail
tt0039485,An Ideal Husband
tt0039631,Monsieur Verdoux
tt0039651,Record of a Tenement Gentleman
tt0039677,Larga es la noche
tt0039689,Traidora y mortal
tt0039822,The Silence of the Sea
tt0039834,Frustration
tt0039871,One Wonderful Sunday
tt0040092,Ways of Love
tt0040098,Anna Karenina
tt0040155,Berlin Express
tt0040160,El reloj asesino
tt0040330,Eva
tt0040413,Apostasy
tt0040416,Hamlet
tt0040418,Port of Call
tt0040497,The Big Day
tt0040505,A Hen in the Wind
tt0040522,Ladrón de bicicletas
tt0040559,The Machine to Kill Bad People
tt0040636,La ciudad desnuda
tt0040662,Oliver Twist
tt0040725,Las zapatillas rojas
tt0040737,Bitter Rice
tt0040782,The Portrait
tt0040917,Such a Pretty Little Beach
tt0040979,Drunken Angel
tt0040980,Women of the Night
tt0041154,Late Spring
tt0041232,Chains
tt0041460,The Hidden Room
tt0041497,Yo maté a Jesse James
tt0041699,Stray Dog
tt0041713,Here's to the Young Lady
tt0041719,Orpheus
tt0041735,Apasionada
tt0041886,The Small Back Room
tt0041931,Stromboli
tt0041998,Thirst
tt0042056,A Broken Drum
tt0042059,The Ghost of Yotsuya: Part I
tt0042217,Father Amine
tt0042229,The Baron of Arizona
tt0042369,Con las horas contadas
tt0042436,The Terrible Children
tt0042466,Girl with Hyacinths
tt0042477,The Flowers of St. Francis
tt0042651,Wedding Ring
tt0042665,Last Holiday
tt0042692,Variety Lights
tt0042700,El pecado de Madeleine
tt0042762,The Munekata Sisters
tt0042783,Young Lovers
tt0042876,Rashomon
tt0042898,The Rocking Horse Winner
tt0042906,La Ronde
tt0042958,Scandal
tt0042980,Idilio en París
tt0043048,To Joy
tt0043115,Victims of Sin
tt0043140,Five Angles on Murder
tt0043159,The Good Fairy
tt0043313,Early Summer
tt0043362,The Browning Version
tt0043386,Golden Marie
tt0043511,The Greatest Love
tt0043532,Nobody's Children
tt0043567,Miss Julie
tt0043587,Ginza Cosmetics
tt0043601,Green Grow the Rushes
tt0043614,The Idiot
tt0043699,Carmen Comes Home
tt0043707,Vendetta of a Samurai
tt0043801,A Married Life
tt0043809,Miracle in Milan
tt0043927,Poison
tt0043972,Río sagrado
tt0044029,Boyhood
tt0044060,Summer Interlude
tt0044072,Héroes en marcha
tt0044121,El enigma de otro mundo
tt0044163,Fireworks Over the Sea
tt0044355,Androcles and the Lion
tt0044386,Las aventuras de Robinson Crusoe
tt0044429,The Blazing Sun
tt0044487,The Golden Coach
tt0044495,He Who is Without Sin
tt0044602,Fan-Fan the Tulip
tt0044741,Vivir
tt0044744,The Importance of Being Earnest
tt0044793,Carmen's Innocent Love
tt0044811,Secrets of Women
tt0044837,Candilejas
tt0044982,The Flavor of Green Tea Over Rice
tt0044986,Mother
tt0045034,Le Plaisir
tt0045056,The Promoter
tt0045112,The Life of Oharu
tt0045251,Othello
tt0045274,Umberto D.
tt0045361,This Strange Passion
tt0045554,Welcome Mr. Marshall!
tt0045802,Wild Geese
tt0045848,The Naked Night
tt0045900,Hidden in the Fog
tt0045935,Gate of Hell
tt0045971,Golden Demon
tt0045997,After the Curfew
tt0046022,The Earrings of Madame De...
tt0046127,Tragedy of Japan
tt0046268,El salario del miedo
tt0046345,"Monika, the Story of a Bad Girl"
tt0046438,Cuentos de Tokio
tt0046447,Torment
tt0046449,Torna!
tt0046468,Wife
tt0046478,Ugetsu
tt0046487,Las vacaciones del Sr. Hulot
tt0046511,Journey to Italy
tt0046521,I Vitelloni
tt0046750,Late Chrysanthemums
tt0046851,The Crucified Lovers
tt0046911,Las diabólicas
tt0046998,Only the French Can
tt0047034,Japón bajo el terror del monstruo
tt0047094,En mi casa mando yo
tt0047167,A Lesson in Love
tt0047281,Twenty-Four Eyes
tt0047287,Boyfriend in Sight
tt0047300,The Garden of Women
tt0047336,Fear
tt0047444,Musashi Miyamoto
tt0047445,Sansho the Bailiff
tt0047469,Senso
tt0047478,Los siete samurais
tt0047528,La calle
tt0047579,Three Cases of Murder
tt0047682,The Sounds from the Mountains
tt0047821,The Girlfriends
tt0047832,The White Angel
tt0047876,The Swindle
tt0047930,A Journey to the Beginning of Time
tt0048127,Godzilla Raids Again
tt0048133,The Grand Maneuver
tt0048198,I Live in Fear
tt0048250,A Kid for Two Farthings
tt0048272,Dreams
tt0048308,Lola Montès
tt0048393,Confidential Report
tt0048394,Death of a Cyclist
tt0048429,She Was Like a Wild Chrysanthemum
tt0048452,Ordet
tt0048473,Pather Panchali
tt0048499,La Pointe Courte
tt0048500,A Generation
tt0048527,Queen Bee
tt0048579,Samurai (Part II)
tt0048641,Smiles of a Summer Night
tt0048673,Locura de verano
tt0048731,The Tattered Wings
tt0048757,Floating Clouds
tt0048801,No somos ángeles
tt0048820,Princess Yang Kwei-fei
tt0048933,Street of Shame
tt0048956,The Unvanquished
tt0049012,El arpa de Birmania
tt0049042,The Rocket from Calabuch
tt0049087,"Come Back, Africa"
tt0049177,Elena and Her Men
tt0049182,Plucking the Daisy
tt0049189,Y Dios creó a la mujer
tt0049531,The Mystery of Picasso
tt0049537,House of Geisha
tt0049552,Nightfall
tt0049674,Richard III
tt0049710,Bushido
tt0049730,Más corazón que odio
tt0049761,Dark Waters
tt0049782,Rodan. Los hijos del volcán
tt0049784,Primavera temprana
tt0049821,The Rose on His Arm
tt0049856,Time Without Pity
tt0049902,A Man Escaped
tt0049916,White Vertigo
tt0049976,Farewell to Dream
tt0050188,Mother India
tt0050193,The Night Heaven Fell
tt0050251,The Mysterians
tt0050307,Cosas de mujeres
tt0050330,The Lower Depths
tt0050393,El monstruo sin rostro
tt0050421,Danger Stalks Near
tt0050458,The Women of His Life
tt0050574,Miracles of Thursday
tt0050585,Kanal
tt0050598,Un rey en Nueva York
tt0050613,Throne of Blood
tt0050633,Letter from Siberia
tt0050634,The Cranes Are Flying
tt0050706,Mi tío
tt0050782,White Nights
tt0050800,On the Bowery
tt0050976,El séptimo sello
tt0050986,Fresas silvestres
tt0051093,Tokyo Twilight
tt0051365,The Magician
tt0051372,Araya
tt0051378,Elevator to the Gallows
tt0051390,Cairo Station
tt0051404,Le Beau Serge
tt0051418,La mancha voraz
tt0051512,Varan
tt0051542,Corridors of Blood
tt0051584,Conflagration
tt0051704,Endless Desire
tt0051706,El estrangulador fantasma
tt0051713,Hell Drivers
tt0051720,Equinox Flower
tt0051739,The Horse's Mouth
tt0051792,The Music Room
tt0051808,Hidden Fortress
tt0051828,The Eternal Rainbow
tt0051879,Look Back in Anger
tt0051955,The Rickshaw Man
tt0051980,The Ballad of Narayama
tt0051994,La última noche del Titanic
tt0052016,Stolen Desire
tt0052017,Brink of Life
tt0052080,Ashes and Diamonds
tt0052216,Big Deal on Madonna Street
tt0052374,Una invención diabólica
tt0052414,Night Drum
tt0052540,A Street of Love and Hope
